time,latitude,longitude,altitude,distance,elevation,slope,duration,speed,vertical speed
2020-09-27 07:30:10+00:00,45.43088128,6.03940416,372.1600036621094,1.8403815585520586,0.0,0.0,0:00:01,1.8403815585520586,0.0
2020-09-27 07:42:07+00:00,45.44020992,6.05557248,377.3599853515625,6.395824866606333,-6.280029296875,-98.18951312541529,0:00:04,1.5989562166515832,-1.57000732421875
2020-09-27 07:44:09+00:00,45.43990272,6.05567488,419.9700012207031,7.299179146373016,7.519989013671875,103.02513286591385,0:00:04,1.824794786593254,1.8799972534179688
2020-09-27 07:53:59+00:00,45.43755776,6.06597568,559.4000244140625,1.6512145530942766,1.36004638671875,82.36642440984456,0:00:08,0.20640181913678457,0.17000579833984375
2020-09-27 08:05:11+00:00,45.42735872,6.05663552,629.7000122070312,4.9206615843577515,13.44000244140625,273.13405343969515,0:00:06,0.8201102640596253,2.2400004069010415
2020-09-27 08:11:42+00:00,45.42847488,6.05516672,613.1500244140625,8.506964980725371,-3.26995849609375,-38.438602997692456,0:00:02,4.2534824903626856,-1.634979248046875
2020-09-27 08:14:12+00:00,45.43051776,6.05192384,531.1500244140625,8.113359077433033,18.9100341796875,233.07281237292904,0:00:02,4.056679538716517,9.45501708984375
2020-09-27 08:16:12+00:00,45.42875136,6.04628544,459.07000732421875,5.748034267014143,-21.720001220703125,-377.86833222874526,0:00:02,2.8740171335070714,-10.860000610351562
2020-09-27 08:18:13+00:00,45.42657536,6.04352256,455.6000061035156,9.409614074820178,-16.829986572265625,-178.8594775348133,0:00:03,3.136538024940059,-5.609995524088542
2020-09-27 08:27:15+00:00,45.42146048,6.04562176,592.9199829101562,6.274497269163887,11.70001220703125,186.46931706435095,0:00:03,2.0914990897212955,3.9000040690104165
2020-09-27 08:35:13+00:00,45.421312,6.0443072,626.1900024414062,7.42021697388404,-3.0999755859375,-41.777425065170945,0:00:02,3.71010848694202,-1.54998779296875
2020-09-27 08:35:38+00:00,45.42205952,6.04416192,601.010009765625,7.464087985036522,-3.3699951171875,-45.149455954209394,0:00:02,3.732043992518261,-1.68499755859375
2020-09-27 08:36:55+00:00,45.42250496,6.04098816,530.010009765625,7.314980442823291,-3.27996826171875,-44.839057156150275,0:00:02,3.6574902214116456,-1.639984130859375
2020-09-27 08:37:13+00:00,45.4223616,6.04018752,552.0800170898438,6.846204998778884,37.34002685546875,545.4120474354604,0:00:02,3.423102499389442,18.670013427734375
2020-09-27 08:39:25+00:00,45.42097408,6.03409408,469.44000244140625,5.407706140080797,-1.82000732421875,-33.65581037640402,0:00:01,5.407706140080797,-1.82000732421875
2020-09-27 08:44:17+00:00,45.41750784,6.03231616,495.7099914550781,5.8561917183656975,-37.639984130859375,-642.7382493782779,0:00:04,1.4640479295914244,-9.409996032714844
2020-09-27 08:46:15+00:00,45.4177536,6.0344704,526.4199829101562,6.033108033609022,5.6199951171875,93.15256888953145,0:00:04,1.5082770084022554,1.404998779296875
2020-09-27 08:54:19+00:00,45.41646336,6.03736,647.8900146484375,5.184162514270358,6.989990234375,134.83354765854216,0:00:05,1.0368325028540715,1.397998046875
2020-09-27 09:00:59+00:00,45.41690368,6.03050688,484.8900146484375,8.359988060084701,-3.279998779296875,-39.23449119452023,0:00:02,4.179994030042351,-1.6399993896484375
2020-09-27 09:01:13+00:00,45.41658112,6.0300096,468.3500061035156,6.795550225352425,-3.269989013671875,-48.119562143362565,0:00:02,3.3977751126762126,-1.6349945068359375
2020-09-27 09:06:19+00:00,45.42018048,6.03057152,384.4200134277344,7.521364251860787,-5.470001220703125,-72.72618420720478,0:00:03,2.5071214172869287,-1.823333740234375
2020-09-27 09:10:19+00:00,45.42410752,6.03456384,391.45001220703125,8.71447714619697,9.44000244140625,108.32551721735712,0:00:02,4.357238573098485,4.720001220703125
